,neighbors
207,"['13119000001' '13119000002' '13119000006' '13011000004' '13011000006'
 '13195000HAR' '13195000MIL' '13195000ILA' '13195000POC']"
208,"['13257000004' '13137000001' '13257000003' '13257000007' '13257000002'
 '13257000005']"
209,"['13137000004' '13137000005' '13137000001' '13137000006' '13137000003'
 '13011000005' '13011000002' '13257000005']"
210,['13137000002']
211,['13137000002' '13137000006' '13011000002']
212,"['13257000001' '13137000002' '13257000003' '13137000007' '13137000003'
 '132410RABUN' '13257000005']"
213,"['1315300ROZR' '132250000C1' '132250000F3' '132250000F1' '13079000005'
 '132250000P1' '1307900001A']"
214,"['13151000056' '130890000HH' '13063000MO5' '130890000FK' '13063000EW1'
 '130890000CS' '130890000KD' '13151000047']"
215,['13151000039' '13151000056' '13151000054' '13151000045' '13151000042']
216,"['13151000046' '13151000041' '13063000MO6' '13151000054' '13063000MO5'
 '13151000044' '13151000045' '13151000047']"
217,['13257000001' '13137000001' '13257000008' '13257000007' '13257000002']
218,['13119000001' '13119000005' '13119000007' '13147000003' '13195000HAR']
219,['13119000003' '13257000003' '13257000007' '13257000006']
220,"['13123000009' '13123000010' '13123000008' '13123000005' '13123000004'
 '13123000013' '13123000003']"
221,"['1311100SUGC' '1311100TOCC' '1311100NOON' '13123000013' '13123000012'
 '13123000007']"
222,"['13123000006' '1311100TOCC' '1311100FLIN' '1311100MINE' '1311100COLW'
 '13123000007']"
223,['1315300ROZR' '132250000F2' '132250000F1' '13193000003']
224,"['13209000002' '13279000043' '13279015361' '13279000514' '13279000039'
 '13209000003']"
225,"['13209000007' '13161000202' '13209000002' '1300100001B' '13279000513'
 '13279000039']"
226,"['13279000513' '13279000514' '13279000039' '13043001736' '13267000003'
 '13267000005' '13267000001' '13107000050']"
227,"['13279000513' '13279015361' '132830ANNEX' '13209000004' '13107000050'
 '13209000003']"
228,"['13029FTSTEW' '13031000008' '13179000013' '13043001736' '13029000001'
 '13267000008' '13267000007' '13267000003' '13267000005' '13267000004'
 '13031000007']"
229,"['13031000014' '13031000013' '13031000012' '13031000009' '13043001685'
 '13043001736' '13031000015']"
230,"['13031000011' '13031000013' '13031000003' '13031000012' '13031000015'
 '13031000002']"
231,"['13031000011' '13031000014' '13031000004' '13031000003' '13031000010'
 '13031000009' '13031000015']"
232,"['13031000013' '13031000003' '13031000010' '13031000005' '13031000016'
 '13031000006' '13031000007']"
233,['132210000CR' '1305900001C' '1305900001B' '13219000002' '1305900008B']
234,"['13175000022' '13175000016' '13175000021' '13167001746' '132830ANNEX'
 '13175000011' '13107001748' '13167001266']"
235,"['13175000022' '13175000015' '13309000001' '13309000002' '132830ANNEX'
 '13175000013' '13175000019' '13175000008']"
236,"['13269000006' '132250000F2' '132250000F3' '13193000001' '13193000003'
 '1307900001A']"
237,['13303001488' '13303000088' '13303001350' '13303000094' '13303000099']
238,"['13161000202' '130050DOUGL' '13161000301' '1300100004D' '1300100001C'
 '1300100005A' '13161000302']"
239,['130050DOUGL' '1300100003C' '1300100004B' '1300100005B' '1300100005A']
240,['13161000202' '13001000002' '1300100001B' '1300100005B' '1300100005A']
241,"['1300100003C' '13001000002' '1300100001B' '13279000039' '13267000009'
 '1330500001A' '1330500001B']"
242,"['1315300NSES' '1315300CENT' '13153000TMS' '132250000C1' '132250000B1'
 '132250000P1']"
243,"['1314100003B' '1314100004A' '1314100002B' '1314100001B' '13301000004'
 '1314100003A' '1314100004C']"
244,['1314100002A' '1314100002B' '13303001350' '1314100004B' '1314100004C']
245,['13175000022' '13175000004' '13175000005']
246,"['13175000022' '13175000004' '13175000015' '13175000005' '13175000007'
 '13175000011']"
247,"['1314100002A' '1314100004A' '1314100001B' '1300900MONT' '1314100001A'
 '1314100004B']"
248,['1314100003B' '1314100002A' '1314100002B' '1314100003C' '1314100001A']
249,"['13175000022' '13175000004' '13175000003' '13175000021' '13175000007'
 '13175000012' '13175000018']"
250,['13023000001' '132890000HV' '13175000012' '13175000018' '13319000011']
251,"['13175000021' '13175000005' '13319000007' '13175000011' '13167001405'
 '13167001301' '13175000018']"
252,"['1312100010P' '1312100009C' '1312100009B' '1312100010D' '131210010H1'
 '1312100010F']"
253,['1312100010E' '1312100009C' '1312100009B' '131210SC14B' '1312100010D']
254,"['131210ML071' '131210ML07A' '131210ML05C' '131210ML05B' '13117000029'
 '13057000018' '13117000002' '1312100ML03']"
255,['131210ML072' '131210ML05C' '131210ML05B']
256,['131210ML072' '131210ML021' '13057000018' '1312100ML03']
257,"['131210SS07A' '131210SS07B' '1312100SS16' '1312100SS05' '131210SS09B'
 '1312100SS31' '1312100SS03']"
258,"['1312100001S' '1312100012A' '1312100001C' '1312100012S' '1312100001J'
 '1312100012D' '131210012H2' '131210012E1']"
259,['1309900000U' '130990000CU' '13201000001' '13253000002' '1309900000B']
260,"['130990000CS' '13037000004' '1309900000A' '13061000001' '1309900000B'
 '13061000002']"
261,['1324300718A']
262,['130990000CS' '13201000001' '1309900000A' '1309900000B']
263,"['13115000140' '13115000050' '13115000040' '13115000085' '13115000130'
 '13115000010']"
264,"['13115000055' '13115000076' '13115000001' '13115000050' '13115000090'
 '13115000110' '13115000105' '13115000085' '13115000075' '13115000010']"
265,"['13115000140' '13115000001' '13115000050' '13115000110' '13115000125'
 '13115000075']"
266,"['13115000140' '13115000076' '13115000050' '13115000110' '13115000045'
 '13115000125' '13115000080']"
267,"['13185000009' '13185000008' '13173000001' '13185000004' '1306500000D'
 '1306500000F']"
268,['13173000001' '13101001058' '1306500000H' '1306500000F' '130650000AB']
269,"['13115000055' '13115000140' '13115000076' '13115000001' '13115000080'
 '13115000075' '13115000010' '13115000115']"
270,['13115000045' '13115000015' '13233000005']
271,['13115000090' '13115000110' '13115000065' '13115000015' '13115000125']
272,"['13115000140' '13115000135' '13115000110' '13115000065' '13115000025'
 '13115000105' '13115000030']"
273,"['13115000140' '13115000076' '13115000001' '13115000135' '13115000090'
 '13115000125']"
274,"['13039000009' '13039000012' '13039000013' '13039000010' '13039000006'
 '13039000008' '13039000011']"
275,['13039000001' '13127001933' '13127002953' '13039000010' '13039000003']
276,['13115000135' '13115000090' '13115000025' '13115000015' '13115000060']
277,"['13015000014' '13015000010' '13115000090' '13115000065' '13115000105'
 '13115000030' '13115000060']"
278,"['131210AP01A' '131210AP01B' '131210AP01C' '131210RW07A' '131210AP022'
 '131210AP02B' '1312100RW13' '131210AP01E']"
279,"['131210AP01D' '131210AP01B' '1312100AP14' '131210AP01C' '131210AP12C'
 '131210AP12A' '131210AP09A' '131210AP022' '1312100JC10']"
280,['131210AP01D' '131210AP01A' '131210AP12C' '131210AP021' '131210AP022']
281,"['131210AP01A' '131210AP01C' '131210AP09A' '1312100JC16' '1312100JC15'
 '1312100JC14' '1312100JC10']"
282,['131210AP01D' '131210AP01A' '1312100AP14' '1312100JC16' '1312100RW13']
283,"['130890000WJ' '130890000BI' '1312100007E' '1312100007N' '1312100007F'
 '1312100007D' '1312100007C' '130890000CO']"
284,['131210EP04A' '131210EP03A' '131210CP012' '131210011E3' '1312100011J']
285,['131210EP02C' '131210CP011' '1312100CP02']
286,"['13039000014' '13039000007' '13039000005' '13039000013' '13039000006'
 '13039000008']"
287,"['13039000009' '13039000005' '13039000004' '13039000006' '13039000003'
 '13039000008']"
288,"['13025000003' '1304900005W' '1304900005F' '13025000002' '13039000002'
 '13127001933' '13039000004' '13039000003']"
289,"['13015000007' '1306700MS01' '1322300004B' '1322300003C' '1322300002B'
 '1306700DU01' '1306700FR01']"
290,['1322300007B' '1322300010C' '1322300008B' '1322300012C' '1322300009C']
291,"['13115000055' '13055001382' '13129001064' '13115000130' '13129001055'
 '13115000010' '13115000035']"
292,"['13295000881' '13295000869' '13295000960' '13295001809' '13295000944'
 '13295000943' '13295001808']"
293,"['13275000111' '13071000012' '132050000PE' '132050000CS' '132050000PC'
 '132050000HI']"
294,['13055000940' '13115000080' '13055001484' '13115000115' '13055000961']
